free,log,restart,rmse,converged,in_bounds,C_c,h_amb,K_Q,h_fc,sigma,tau,theta,dead,coast
K_Q+C_c+h_fc+sigma+theta,real_mak,0,2.4030185314114476,True,True,1737.6947053856882,0.5,4.987004181705113,0.3812362480519318,6.245415606688564e-16,3475.3894107713763,93.90493886424949,65.0,144.0
K_Q+C_c+h_fc+sigma+theta,real_mak,1,2.403026256086375,True,True,1258.1696610227325,0.361597542568577,3.606557406100619,0.21342779897916098,5.019214805016267e-17,3479.4751426833063,93.90085611309931,65.0,144.0
K_Q+C_c+h_fc+sigma+theta,real_mak,2,2.4030312966150373,True,True,2174.4764940917185,0.6244637463068687,6.228385399273309,0.2987816257023646,3.6613247459388903e-16,3482.150095905096,93.9051623466204,65.0,144.0
K_Q+C_c+h_fc+sigma+theta,real_mak,3,2.403020646340362,True,True,2491.2614837106457,0.7165960027568746,7.147326114656304,0.5121042800592597,6.596297927450659e-17,3476.5216023063367,93.89721643991808,65.0,144.0
K_Q+C_c+h_fc+sigma+theta,real_mak,4,2.403018844052389,True,True,2600.8627602210445,0.748322880854859,7.463811131017909,0.5650482685335513,2.855984636677098e-16,3475.5889827261544,93.91039089496135,65.0,144.0
h_amb,grillsim_heatup,0,8.131399574623243,True,True,320.0,0.2975308570017089,3.5,1.3,1.4e-09,1075.5186982107273,50.0,26.0,42.0
h_amb,grillsim_heatup,1,31.874076312925595,True,False,386.0693815046721,1.0000082372159623e-09,2.3890644706353026,1.5768952497376267,1.6721812786131842e-09,386066201393.9955,24.35166348928447,17.0,21.0
h_amb,grillsim_heatup,2,38.09227393630037,True,True,204.59835859653361,0.9987200993563123,6.4813472798548695,1.3893374992672314,1.4948711048191424e-09,204.86055975883517,73.0598870114332,26.0,51.0
h_amb,grillsim_heatup,3,28.407538322071442,True,True,190.63857235204293,0.4999318286825503,4.1276139272762595,1.1294878495233271,1.3657925987199706e-09,381.3291361232688,44.64123523263229,19.0,37.0
h_amb,grillsim_heatup,4,53.73360086427833,True,False,448.63253966799414,1.0000000000011895e-09,2.345825686888981,0.9880036350353268,1.894409562930701e-09,448632539667.46045,53.74468270013655,37.0,60.0
h_amb+theta,grillsim_heatup,0,1.7341008382262297,True,True,320.0,0.2996010976310341,3.5,1.3,1.4e-09,1068.0868746151511,24.26933824615124,16.0,21.0
h_amb+theta,grillsim_heatup,1,4.519191137299125,True,False,225.1571608375006,1.000000000000002e-09,2.754458575647866,1.9772867853416172,2.0585529449837722e-09,225157160837.50018,39.81281160766584,20.0,25.0
h_amb+theta,grillsim_heatup,2,15.575313814352294,True,True,295.63327123604586,0.7332035039891178,4.857065615164586,0.9283347269798243,9.600615203096373e-10,403.20766284885843,62.591640843224795,28.0,42.0
h_amb+theta,grillsim_heatup,3,6.571932477062962,True,True,427.89627346267514,0.7440375823894592,5.618825798701112,0.6552385123204345,1.3850815068304724e-09,575.1003492168988,33.35598895461205,21.0,31.0
h_amb+theta,grillsim_heatup,4,4.544661692973491,True,True,318.38789462489046,0.29303406534343135,3.2299449413335166,0.8007247229599259,1.2006303602970651e-09,1086.5217811852176,16.11192132264592,12.0,16.0
K_Q+h_amb,grillsim_heatup,0,5.98702653518248,True,True,320.0,0.3908440714850064,3.9092865087000876,1.3,1.4e-09,818.7408313094392,50.0,25.0,39.0
K_Q+h_amb,grillsim_heatup,1,9.529057343365952,True,True,483.86152474409636,0.596010344406212,6.246024572198204,1.1910171228831334,2.3713851752655743e-09,811.8341053730429,58.50026065565517,31.0,48.0
K_Q+h_amb,grillsim_heatup,2,5.341781511403766,True,True,469.4390557429133,0.5566493255906203,5.637137349806958,1.6043396451097671,2.0397831897309406e-09,843.3299640573991,48.38674191789314,24.0,37.0
K_Q+h_amb,grillsim_heatup,3,2.0312110806396797,True,True,354.1256200816806,0.42079559546501444,4.049419184666081,2.087880659735824,1.3684198377792662e-09,841.5620883349363,36.92605327999811,19.0,27.0
K_Q+h_amb,grillsim_heatup,4,10.01034973766923,True,True,399.58249389668777,0.31308983588148787,5.122102016621974,1.2179686508421292,2.6037323838040414e-09,1276.2550811388828,70.1264042314529,30.0,47.0
K_Q+h_amb+theta,grillsim_heatup,0,1.219289831742802,True,True,320.0,0.3232621239775922,3.6044740483101654,1.3,1.4e-09,989.9087343192167,27.021129836268187,17.0,23.0
K_Q+h_amb+theta,grillsim_heatup,1,1.2752729540284928,True,True,377.2201975773617,0.5605928606785308,4.333462151804148,2.69196716958616,1.0466744230996436e-09,672.8951152192371,28.76772480287749,17.0,23.0
K_Q+h_amb+theta,grillsim_heatup,2,1.2643351875103381,True,True,317.22507123798175,0.4475627482094608,3.5996934925967037,1.2469988838742054,9.36459008391737e-10,708.7834555201172,27.467684652889172,17.0,23.0
K_Q+h_amb+theta,grillsim_heatup,3,4.09370292123175,True,False,240.78142346209228,1.0000000010691475e-09,2.919682820168557,1.3776879363694328,2.1619486503776865e-09,240781423204.6614,38.35692308466026,20.0,25.0
K_Q+h_amb+theta,grillsim_heatup,4,1.2868564983811885,True,True,447.1377536491426,0.6396372570419527,5.024075841245049,2.1526574307163924,1.2516767879174547e-09,699.0489511460956,30.772106517466955,16.0,23.0
C_c+h_amb+theta,grillsim_heatup,0,1.2155902955928564,True,True,310.73902013449947,0.30293926281989003,3.5,1.3,1.4e-09,1025.7469343590722,27.044738115463723,17.0,23.0
C_c+h_amb+theta,grillsim_heatup,1,1.2132434121385993,True,True,149.87693038074704,0.12999952298748402,1.7226578574468048,1.9391889338852648,7.59788269968732e-10,1152.9036948479938,29.88134165181405,17.0,22.0
C_c+h_amb+theta,grillsim_heatup,2,1.201207145639091,True,True,256.17835838312214,0.20381175415083116,2.885545885896362,0.9823870399752797,1.3243133209883146e-09,1256.936134279758,25.362769166735394,17.0,22.0
C_c+h_amb+theta,grillsim_heatup,3,1.306549486185778,True,True,404.55489819697823,0.6550523273651182,4.618835968938265,0.932336755063566,9.028273179924237e-10,617.5917270979853,23.156120853637823,16.0,23.0
C_c+h_amb+theta,grillsim_heatup,4,1.271349968939351,True,True,307.1805796207694,0.41678682317324817,3.5478135191136335,1.2341305090864403,1.0131975121604916e-09,737.0208522477254,23.26295508729288,16.0,23.0
K_Q+C_c+h_amb,grillsim_heatup,0,5.56559652650495,True,False,155.19226644924828,1.000003000201303e-09,1.9190486652034298,1.3,1.4e-09,155191800842.60516,50.0,25.0,35.0
K_Q+C_c+h_amb,grillsim_heatup,1,1.7861539675295472,True,False,168.4271269758534,1.0009544172475836e-09,1.9139939189702657,1.385751387261185,1.3831095704863985e-09,168266530496.95605,34.63045928896602,19.0,25.0
K_Q+C_c+h_amb,grillsim_heatup,2,1.8720864415658565,True,False,178.2160647224068,1.0004902183245784e-09,2.017562615038566,1.7999457574843927,1.4583340078924033e-09,178128742748.57733,36.504302449178496,19.0,25.0
K_Q+C_c+h_amb,grillsim_heatup,3,3.503338029767477,True,False,140.24689954779944,1.000009399733199e-09,1.625702043072321,1.1820575115885876,1.1800901381685593e-09,140245581276.75308,44.18116857182058,21.0,29.0
K_Q+C_c+h_amb,grillsim_heatup,4,10.622998358472312,True,False,108.7897092816718,1.0000004849519316e-09,1.4998774069330658,0.9785120936276175,1.1085321258475143e-09,108789656523.91774,72.73412103831629,32.0,46.0
K_Q+C_c+h_amb+theta,grillsim_heatup,0,1.1374357765038532,True,False,173.18774380410485,1.0000002053223166e-09,1.943467878898692,1.3,1.4e-09,173187708244.8034,27.443248991466774,17.0,21.0
K_Q+C_c+h_amb+theta,grillsim_heatup,1,1.1399136384058914,True,False,106.97630219779886,1.0000000499497975e-09,1.2752278843581732,1.2220044442253775,9.18657172069776e-10,106976296854.35449,25.064708516078994,17.0,21.0
K_Q+C_c+h_amb+theta,grillsim_heatup,2,1.143865154385592,True,False,98.3009960869107,1.0000001751509577e-09,1.1534341846362175,0.9163205684327285,8.309294667325829e-10,98300978869.40012,24.547094426741815,17.0,21.0
K_Q+C_c+h_amb+theta,grillsim_heatup,3,1.1387282759549406,True,False,106.51328193731587,1.0000000024641302e-09,1.2237989022185336,1.354537457820799,8.815779300553894e-10,106513281674.85327,28.412343002812115,17.0,21.0
K_Q+C_c+h_amb+theta,grillsim_heatup,4,1.1377860142734502,True,False,137.57225235708268,1.000000005747108e-09,1.5384395136845181,0.9953690524348043,1.108232305562877e-09,137572251566.4401,27.63982851040619,17.0,21.0
K_Q+C_c+h_fc+h_amb,grillsim_heatup,0,4.1312460945720755,True,False,159.9740258067202,1.000000000009721e-09,1.9254084049110307,17.067678976434543,1.4e-09,159974025805.16507,50.0,21.0,6085.0
